Sr No,Modules & Features,Front End - Web,Back End,Live on Server,Start Date,End Date
1,Authentication & Access Management,,,,,
1.1,Login & Registration Engine,Completed,Completed,Live,25-May-2026,28-May-2026
1.2,Role & Permissions Access Control (CRUD),Completed,Completed,Live,26-May-2026,31-May-2026
1.3,Profile & Password Management,Completed,Completed,Completed,28-May-2026,02-Jun-2026
1.4,Registration Requests & Approvals,Completed,Completed,Live,30-May-2026,04-Jun-2026
2,Organization & Territory Master,,,,,
2.1,Organization & Global Settings Setup,Completed,Completed,Live,27-May-2026,03-Jun-2026
2.2,Sites & Branches Management,Completed,Completed,Completed,29-May-2026,05-Jun-2026
2.3,Territories & Geo-Fencing Boundaries,Completed,Completed,Completed,01-Jun-2026,08-Jun-2026
2.4,Departments Setup & Structure,Completed,Completed,Live,03-Jun-2026,09-Jun-2026
3,Employee Lifecycle & Hierarchy,,,,,
3.1,Employee Master & Onboarding,Completed,Completed,Live,26-May-2026,02-Jun-2026
3.2,Reporting Managers (Direct/Dotted lines),Completed,Completed,Live,28-May-2026,05-Jun-2026
3.3,Status Masters & Trackability Config,Completed,Completed,Completed,01-Jun-2026,07-Jun-2026
3.4,Performance Metrics & Targets Setup,Completed,In Progress,Pending,04-Jun-2026,12-Jun-2026
4,Attendance & Leave Management,,,,,
4.1,Daily Attendance (Check-in/out / Shifts),Completed,Completed,Live,02-Jun-2026,08-Jun-2026
4.2,Leave Balances & Allocation,Completed,Completed,Completed,05-Jun-2026,10-Jun-2026
4.3,Leave Requests & Approval Workflows,Completed,Completed,Live,07-Jun-2026,14-Jun-2026
4.4,Location-based Attendance Validation,Completed,In Progress,Pending,10-Jun-2026,18-Jun-2026
5,Inventory & Product Management,,,,,
5.1,Categories & Units of Measure (UOM),Completed,Completed,Live,01-Jun-2026,06-Jun-2026
5.2,Product Master (SKU / Barcode / Expiry),Completed,Completed,Live,03-Jun-2026,11-Jun-2026
5.3,Vendor Management (Distributors / Dealers),Completed,Completed,Completed,05-Jun-2026,13-Jun-2026
5.4,Location Capacity (Warehouses / Vans),Completed,Completed,Completed,08-Jun-2026,16-Jun-2026
6,Point of Sale (POS) & Ordering,,,,,
6.1,POS Terminals Monitoring (Sync Status),Completed,Completed,Live,06-Jun-2026,14-Jun-2026
6.2,Product Ordering & Requisition,Completed,Completed,Live,09-Jun-2026,17-Jun-2026
6.3,POS Error Alerts & Troubleshooting,Completed,In Progress,Pending,12-Jun-2026,20-Jun-2026
7,Field Operations & Tasking,,,,,
7.1,Employee Tasks (GPS Tagged / Proof Upload),Completed,Completed,Live,10-Jun-2026,18-Jun-2026
7.2,Meeting Scheduler (Reminders / Links),Completed,Completed,Completed,11-Jun-2026,19-Jun-2026
7.3,Travel Expenses Logging,Completed,Completed,Live,13-Jun-2026,21-Jun-2026
7.4,Expense Reimbursement Approvals,Completed,In Progress,Pending,15-Jun-2026,24-Jun-2026
8,Live Tracking & Route Analytics,,,,,
8.1,Real-time GPS Tracking Dashboard,Completed,Completed,Live,12-Jun-2026,20-Jun-2026
8.2,Route Analytics (Plan vs Actual / ETA),Completed,Completed,Completed,14-Jun-2026,23-Jun-2026
8.3,Geo-Fence Alerts (Zone Exit / Idle Breach),Completed,In Progress,Pending,17-Jun-2026,26-Jun-2026
9,Financials & Compensation,,,,,
9.1,Employee Wallets & Balances,Completed,Completed,Live,15-Jun-2026,22-Jun-2026
9.2,Withdrawal Requests Processing,Completed,Completed,Completed,18-Jun-2026,25-Jun-2026
10,Collaboration & Workflows,,,,,
10.1,Internal Messaging (1-on-1 / Group Chat),Completed,Completed,Live,16-Jun-2026,24-Jun-2026
10.2,Documents Management (Upload / Validate),Completed,Completed,Completed,19-Jun-2026,27-Jun-2026
10.3,System Alerts & Email Notifications,Completed,In Progress,Pending,20-Jun-2026,28-Jun-2026
10.4,Permission & Override Requests,In Progress,In Progress,Pending,22-Jun-2026,30-Jun-2026
